epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,11281.6,0.85798,0.63904,1.21983,0.90323,0.87155,0.94162,0.72537,0.79332,0.47195,1.24712,6.139e-05,6.139e-05,6.139e-05
41,11597.6,0.85168,0.63608,1.2127,0.89525,0.87797,0.94185,0.72627,0.79055,0.47041,1.24506,6.04e-05,6.04e-05,6.04e-05
42,11870.3,0.85126,0.63613,1.21446,0.90174,0.87536,0.94132,0.72584,0.78929,0.46799,1.24381,5.941e-05,5.941e-05,5.941e-05
43,12187.9,0.84977,0.63373,1.21292,0.90052,0.87508,0.94121,0.72723,0.78839,0.46684,1.24325,5.842e-05,5.842e-05,5.842e-05
44,12487.3,0.84765,0.63111,1.21362,0.90808,0.86638,0.94126,0.72798,0.786,0.46355,1.24178,5.743e-05,5.743e-05,5.743e-05
45,12869.5,0.84063,0.62564,1.20843,0.90494,0.87064,0.94169,0.73019,0.78495,0.46295,1.24125,5.644e-05,5.644e-05,5.644e-05
46,13141.3,0.84026,0.62284,1.20628,0.90392,0.86999,0.94133,0.73049,0.78511,0.46228,1.2406,5.545e-05,5.545e-05,5.545e-05
47,13485.8,0.8404,0.62548,1.20578,0.90059,0.87877,0.94336,0.73191,0.78223,0.46017,1.23886,5.446e-05,5.446e-05,5.446e-05
48,13825.1,0.83627,0.61875,1.20406,0.90297,0.87861,0.94381,0.73286,0.78072,0.45991,1.23781,5.347e-05,5.347e-05,5.347e-05
49,14096.6,0.83257,0.61668,1.20003,0.90443,0.87735,0.94349,0.73344,0.77954,0.45985,1.23737,5.248e-05,5.248e-05,5.248e-05
50,14369.2,0.83014,0.61396,1.20097,0.90166,0.87822,0.94358,0.73296,0.77937,0.4595,1.23757,5.149e-05,5.149e-05,5.149e-05
51,14641.3,0.8278,0.61625,1.19982,0.90214,0.87903,0.9433,0.73304,0.77942,0.45942,1.23777,5.05e-05,5.05e-05,5.05e-05
52,14913.6,0.82932,0.61526,1.19999,0.90315,0.87775,0.9437,0.73361,0.77881,0.45859,1.23775,4.951e-05,4.951e-05,4.951e-05
53,15186,0.82356,0.60698,1.19354,0.903,0.87794,0.94404,0.73481,0.77818,0.45785,1.23743,4.852e-05,4.852e-05,4.852e-05
54,15458.7,0.82427,0.61467,1.19519,0.9096,0.8751,0.94315,0.73377,0.7777,0.4574,1.23735,4.753e-05,4.753e-05,4.753e-05
55,15731,0.81954,0.60794,1.1916,0.91092,0.87332,0.94312,0.73375,0.77684,0.45809,1.23691,4.654e-05,4.654e-05,4.654e-05
56,16002.4,0.81545,0.60455,1.19197,0.91266,0.8725,0.94231,0.73484,0.77567,0.45858,1.23657,4.555e-05,4.555e-05,4.555e-05
57,16273.8,0.81698,0.60655,1.19292,0.9131,0.87111,0.94226,0.73448,0.77525,0.45784,1.23635,4.456e-05,4.456e-05,4.456e-05
58,16546.2,0.81382,0.60244,1.18941,0.90904,0.87286,0.94239,0.73488,0.77508,0.45832,1.23645,4.357e-05,4.357e-05,4.357e-05
59,16817.9,0.81261,0.60175,1.1863,0.91031,0.8725,0.94261,0.73498,0.77485,0.45799,1.23636,4.258e-05,4.258e-05,4.258e-05
60,17089.7,0.81355,0.59808,1.1886,0.90045,0.8827,0.94267,0.73467,0.77477,0.45741,1.23689,4.159e-05,4.159e-05,4.159e-05
61,17360.9,0.8064,0.59126,1.18227,0.89992,0.88385,0.94303,0.73564,0.77471,0.45714,1.23695,4.06e-05,4.06e-05,4.06e-05
62,17633,0.8066,0.59824,1.18323,0.89855,0.88575,0.9427,0.73575,0.77475,0.45668,1.23714,3.961e-05,3.961e-05,3.961e-05
