epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,5761.63,0.9301,0.68483,1.26342,0.86617,0.86893,0.91642,0.66335,0.89731,0.52355,1.327,6.139e-05,6.139e-05,6.139e-05
41,5904.87,0.92398,0.68626,1.26078,0.85371,0.86834,0.91478,0.66513,0.89788,0.52558,1.33082,6.04e-05,6.04e-05,6.04e-05
42,6048.12,0.92327,0.68322,1.26206,0.87054,0.86062,0.91799,0.66366,0.90124,0.52283,1.33031,5.941e-05,5.941e-05,5.941e-05
43,6190.68,0.91815,0.67374,1.25614,0.86466,0.86033,0.91942,0.66486,0.90324,0.52346,1.33477,5.842e-05,5.842e-05,5.842e-05
44,6333.59,0.91294,0.67556,1.25177,0.84764,0.88089,0.9133,0.66047,0.89948,0.52344,1.3283,5.743e-05,5.743e-05,5.743e-05
45,6475.96,0.91554,0.66957,1.25245,0.86857,0.88131,0.91966,0.66388,0.89676,0.51956,1.32155,5.644e-05,5.644e-05,5.644e-05
46,6618.52,0.91214,0.66797,1.24965,0.85822,0.87593,0.91757,0.66661,0.89449,0.51965,1.32601,5.545e-05,5.545e-05,5.545e-05
47,6761.93,0.90635,0.6624,1.24842,0.86973,0.87133,0.91891,0.66437,0.8938,0.52018,1.32382,5.446e-05,5.446e-05,5.446e-05
48,6904.94,0.90196,0.66023,1.24484,0.89049,0.85313,0.91698,0.66996,0.89039,0.52198,1.32654,5.347e-05,5.347e-05,5.347e-05
49,7047.8,0.90104,0.65979,1.24242,0.87411,0.88005,0.91714,0.66899,0.89066,0.51758,1.32093,5.248e-05,5.248e-05,5.248e-05
50,7190.36,0.90117,0.65558,1.242,0.86107,0.86956,0.91478,0.66623,0.89365,0.52112,1.32445,5.149e-05,5.149e-05,5.149e-05
51,7333.51,0.90175,0.65382,1.24416,0.88029,0.85926,0.91635,0.66857,0.88845,0.5169,1.32152,5.05e-05,5.05e-05,5.05e-05
