epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,5768.04,0.92865,0.68584,1.26385,0.85519,0.87261,0.91545,0.65843,0.90359,0.52741,1.33002,6.139e-05,6.139e-05,6.139e-05
41,5911.05,0.92267,0.67986,1.25607,0.85758,0.86871,0.91389,0.65947,0.90738,0.52526,1.32947,6.04e-05,6.04e-05,6.04e-05
42,6054.51,0.92579,0.68054,1.26038,0.84433,0.88341,0.91449,0.66035,0.90689,0.5273,1.33389,5.941e-05,5.941e-05,5.941e-05
43,6197.32,0.91614,0.67008,1.25366,0.85372,0.88037,0.9153,0.66002,0.90085,0.52425,1.3296,5.842e-05,5.842e-05,5.842e-05
44,6340.52,0.91275,0.6735,1.2515,0.86791,0.86538,0.91654,0.66363,0.90057,0.52106,1.32602,5.743e-05,5.743e-05,5.743e-05
45,6483.75,0.91579,0.67278,1.25511,0.86723,0.87939,0.91777,0.66494,0.89802,0.51818,1.32704,5.644e-05,5.644e-05,5.644e-05
46,6627.05,0.91479,0.6702,1.24954,0.87961,0.87413,0.91778,0.66203,0.89788,0.51998,1.32555,5.545e-05,5.545e-05,5.545e-05
47,6769.34,0.90337,0.66295,1.24589,0.85302,0.883,0.91687,0.66339,0.89906,0.52316,1.32896,5.446e-05,5.446e-05,5.446e-05
48,6912.09,0.90094,0.65974,1.24499,0.85929,0.87686,0.91766,0.66665,0.89207,0.52094,1.32752,5.347e-05,5.347e-05,5.347e-05
49,7055.44,0.90255,0.66254,1.24282,0.87326,0.86723,0.91669,0.66866,0.89068,0.51631,1.31982,5.248e-05,5.248e-05,5.248e-05
50,7197.86,0.89961,0.65639,1.23805,0.86235,0.8628,0.91735,0.6674,0.89013,0.51958,1.31991,5.149e-05,5.149e-05,5.149e-05
51,7340.76,0.90115,0.65457,1.24457,0.87315,0.87011,0.92022,0.66939,0.88952,0.51701,1.32209,5.05e-05,5.05e-05,5.05e-05
52,7483.72,0.89858,0.65263,1.24168,0.85915,0.87098,0.91819,0.66925,0.88624,0.51356,1.31836,4.951e-05,4.951e-05,4.951e-05
53,7626.54,0.89167,0.65733,1.23798,0.86012,0.86186,0.91726,0.66655,0.89202,0.51755,1.32665,4.852e-05,4.852e-05,4.852e-05
54,7768.97,0.89943,0.66279,1.24028,0.86574,0.85927,0.91556,0.66505,0.89235,0.51827,1.32504,4.753e-05,4.753e-05,4.753e-05
55,7911.72,0.8851,0.64733,1.23151,0.84465,0.88368,0.91796,0.66941,0.89001,0.51544,1.32446,4.654e-05,4.654e-05,4.654e-05
56,8054.87,0.88574,0.64515,1.23103,0.8528,0.88187,0.91457,0.66569,0.88904,0.51561,1.32478,4.555e-05,4.555e-05,4.555e-05
57,8197.3,0.88463,0.65143,1.23239,0.86121,0.87799,0.91836,0.66485,0.88844,0.51146,1.3202,4.456e-05,4.456e-05,4.456e-05
58,8340.12,0.88163,0.6389,1.22797,0.85951,0.87753,0.91837,0.66986,0.88855,0.50963,1.32173,4.357e-05,4.357e-05,4.357e-05
59,8483.52,0.87837,0.64304,1.22347,0.86603,0.87428,0.9144,0.66955,0.88997,0.51496,1.32207,4.258e-05,4.258e-05,4.258e-05
60,8626.85,0.87009,0.63793,1.22049,0.86058,0.87485,0.91279,0.66792,0.88906,0.51326,1.32319,4.159e-05,4.159e-05,4.159e-05
61,8769.75,0.87321,0.63459,1.22583,0.87803,0.85742,0.91619,0.667,0.88741,0.51236,1.32364,4.06e-05,4.06e-05,4.06e-05
62,8913.21,0.87611,0.64148,1.22667,0.86976,0.86938,0.91594,0.66917,0.88651,0.51384,1.32223,3.961e-05,3.961e-05,3.961e-05
63,9056.27,0.87451,0.63544,1.22721,0.86823,0.86796,0.91769,0.67321,0.88285,0.51078,1.31935,3.862e-05,3.862e-05,3.862e-05
64,9199.57,0.86331,0.62763,1.21825,0.87872,0.86608,0.9167,0.67319,0.8879,0.51177,1.32431,3.763e-05,3.763e-05,3.763e-05
65,9342.55,0.86548,0.62801,1.21644,0.86785,0.87279,0.9165,0.66996,0.88557,0.51033,1.32008,3.664e-05,3.664e-05,3.664e-05
66,9484.5,0.86751,0.62591,1.21794,0.86206,0.87713,0.91458,0.66933,0.88539,0.513,1.31894,3.565e-05,3.565e-05,3.565e-05
67,9627.79,0.86575,0.6332,1.21921,0.86488,0.87679,0.91604,0.67151,0.88618,0.51105,1.3199,3.466e-05,3.466e-05,3.466e-05
68,9770.12,0.85926,0.62304,1.2132,0.86951,0.87568,0.91823,0.6725,0.8852,0.51066,1.3192,3.367e-05,3.367e-05,3.367e-05
69,9912.46,0.85868,0.62331,1.21126,0.87791,0.86334,0.91779,0.67283,0.8849,0.51003,1.31791,3.268e-05,3.268e-05,3.268e-05
70,10055.4,0.85524,0.62554,1.20435,0.87526,0.87294,0.91808,0.6719,0.88258,0.50816,1.31604,3.169e-05,3.169e-05,3.169e-05
71,10198.3,0.86251,0.6209,1.21778,0.87231,0.87247,0.91739,0.67359,0.88297,0.50807,1.31622,3.07e-05,3.07e-05,3.07e-05
72,10341.8,0.85439,0.62259,1.20877,0.88017,0.87051,0.9177,0.67269,0.88235,0.51083,1.31644,2.971e-05,2.971e-05,2.971e-05
73,10484.7,0.8556,0.62223,1.21071,0.88431,0.8682,0.91734,0.67235,0.88297,0.51184,1.31899,2.872e-05,2.872e-05,2.872e-05
74,10627.2,0.84852,0.61285,1.20456,0.87676,0.86897,0.91769,0.67272,0.88259,0.51179,1.31964,2.773e-05,2.773e-05,2.773e-05
75,10770.1,0.85056,0.6137,1.20689,0.88209,0.86995,0.92009,0.67303,0.88149,0.51131,1.31783,2.674e-05,2.674e-05,2.674e-05
76,10912.8,0.8482,0.61534,1.20317,0.87293,0.8679,0.91873,0.67324,0.88069,0.51226,1.31691,2.575e-05,2.575e-05,2.575e-05
77,11055.5,0.84645,0.61521,1.20019,0.88549,0.85759,0.9195,0.67484,0.88047,0.51199,1.31632,2.476e-05,2.476e-05,2.476e-05
78,11199,0.84297,0.60736,1.19528,0.87834,0.85754,0.92046,0.67415,0.88128,0.51067,1.31672,2.377e-05,2.377e-05,2.377e-05
79,11341.9,0.84487,0.61204,1.19996,0.87653,0.862,0.9198,0.6754,0.88044,0.5098,1.31572,2.278e-05,2.278e-05,2.278e-05
80,11485,0.84334,0.60965,1.19789,0.87515,0.85887,0.91978,0.67643,0.87994,0.50959,1.31608,2.179e-05,2.179e-05,2.179e-05
81,11628.8,0.83784,0.60078,1.19497,0.87775,0.86498,0.92056,0.67684,0.87966,0.50954,1.31685,2.08e-05,2.08e-05,2.08e-05
82,11771.9,0.84931,0.61103,1.20391,0.87765,0.86049,0.92082,0.67704,0.8792,0.50977,1.3164,1.981e-05,1.981e-05,1.981e-05
83,11915,0.84309,0.61029,1.19927,0.87504,0.86206,0.91851,0.6757,0.87851,0.50992,1.3159,1.882e-05,1.882e-05,1.882e-05
84,12057.9,0.84174,0.61189,1.1976,0.86403,0.86666,0.91692,0.6744,0.87797,0.51029,1.31668,1.783e-05,1.783e-05,1.783e-05
85,12200.4,0.83016,0.60326,1.1924,0.8582,0.87814,0.91677,0.6741,0.87771,0.51049,1.31737,1.684e-05,1.684e-05,1.684e-05
86,12343.3,0.83452,0.60404,1.19678,0.8574,0.87841,0.91703,0.67366,0.87788,0.51019,1.31808,1.585e-05,1.585e-05,1.585e-05
87,12486,0.83427,0.59818,1.19159,0.85927,0.87959,0.9169,0.6739,0.87732,0.50989,1.31801,1.486e-05,1.486e-05,1.486e-05
88,12628.8,0.83459,0.5994,1.19565,0.86715,0.87195,0.91681,0.67467,0.87708,0.51043,1.318,1.387e-05,1.387e-05,1.387e-05
89,12771.4,0.83124,0.5936,1.19391,0.8657,0.87524,0.91671,0.67461,0.87637,0.50927,1.31714,1.288e-05,1.288e-05,1.288e-05
90,12914.2,0.83177,0.60042,1.19188,0.86839,0.87624,0.9171,0.67466,0.87628,0.5104,1.31659,1.189e-05,1.189e-05,1.189e-05
91,13057.5,0.76691,0.44575,1.20126,0.86979,0.8757,0.91821,0.67461,0.87558,0.5089,1.31617,1.09e-05,1.09e-05,1.09e-05
92,13199.8,0.75453,0.44191,1.19035,0.8722,0.87476,0.91857,0.67367,0.87494,0.50856,1.31551,9.91e-06,9.91e-06,9.91e-06
93,13341.9,0.74851,0.43878,1.18367,0.87356,0.87458,0.91849,0.67391,0.87431,0.50817,1.31436,8.92e-06,8.92e-06,8.92e-06
94,13484.1,0.74455,0.43305,1.17711,0.87501,0.87391,0.91842,0.67465,0.87438,0.5081,1.3143,7.93e-06,7.93e-06,7.93e-06
95,13626.4,0.74732,0.43759,1.18391,0.87527,0.87356,0.91862,0.67535,0.87426,0.50781,1.31412,6.94e-06,6.94e-06,6.94e-06
96,13768.6,0.73603,0.42946,1.17671,0.87618,0.87464,0.92013,0.67538,0.8739,0.50803,1.31401,5.95e-06,5.95e-06,5.95e-06
97,13911,0.74255,0.43251,1.18057,0.87589,0.87385,0.92088,0.67672,0.87384,0.50822,1.31419,4.96e-06,4.96e-06,4.96e-06
98,14053.2,0.73776,0.42933,1.17498,0.87603,0.87287,0.92126,0.67666,0.87332,0.50797,1.31353,3.97e-06,3.97e-06,3.97e-06
99,14195.3,0.73716,0.43021,1.17984,0.87684,0.87155,0.9211,0.67669,0.87335,0.50817,1.31369,2.98e-06,2.98e-06,2.98e-06
100,14337,0.73512,0.42807,1.17745,0.87578,0.87309,0.92126,0.67685,0.87363,0.50791,1.31426,1.99e-06,1.99e-06,1.99e-06
