epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,13791.6,0.56931,3.91408,1.27156,0.91198,0.88929,0.93644,0.6183,0.57815,3.86599,1.27967,0.000370597,0.000370597,0.000370597
43,14119.9,0.57146,3.91144,1.26863,0.91284,0.89448,0.93796,0.62099,0.57247,3.87517,1.27717,0.000364863,0.000364863,0.000364863
44,14447.6,0.56597,3.88393,1.25742,0.922,0.87897,0.93596,0.62247,0.57115,3.85822,1.27007,0.000359051,0.000359051,0.000359051
45,14774.1,0.56463,3.78404,1.26702,0.92368,0.88979,0.94084,0.62489,0.56955,3.79685,1.27762,0.000353167,0.000353167,0.000353167
46,15100.3,0.56401,3.762,1.25851,0.91698,0.89628,0.94228,0.62959,0.56691,3.83085,1.27724,0.000347214,0.000347214,0.000347214
47,15427.9,0.56057,3.73849,1.25999,0.92104,0.8832,0.94034,0.62865,0.56878,3.83365,1.27032,0.000341196,0.000341196,0.000341196
48,15752.6,0.55677,3.69994,1.24939,0.92918,0.89448,0.94469,0.63358,0.56921,3.75855,1.26772,0.000335117,0.000335117,0.000335117
49,16083.9,0.5622,3.70423,1.26852,0.91726,0.90023,0.94351,0.63233,0.56811,3.75915,1.2744,0.000328982,0.000328982,0.000328982
50,16411.4,0.55531,3.67906,1.26882,0.91638,0.89611,0.94308,0.63239,0.56585,3.7143,1.27152,0.000322794,0.000322794,0.000322794
51,16739.6,0.55471,3.66502,1.25565,0.91655,0.90623,0.94593,0.63588,0.56349,3.70101,1.27288,0.000316558,0.000316558,0.000316558
52,17065.5,0.55336,3.63034,1.25746,0.93488,0.89728,0.94679,0.63828,0.5627,3.63717,1.26959,0.000310278,0.000310278,0.000310278
53,17393.4,0.55181,3.61438,1.25989,0.92864,0.89593,0.94651,0.63682,0.56835,3.68867,1.27851,0.000303958,0.000303958,0.000303958
54,17717.3,0.54786,3.59867,1.24216,0.91937,0.8984,0.94515,0.63603,0.56809,3.70313,1.27504,0.000297603,0.000297603,0.000297603
55,18047.7,0.54328,3.56115,1.24905,0.90965,0.90451,0.94383,0.63192,0.56811,3.7159,1.27151,0.000291218,0.000291218,0.000291218
56,18377.4,0.5392,3.49604,1.24015,0.93469,0.89241,0.94527,0.6323,0.57,3.72778,1.27324,0.000284805,0.000284805,0.000284805
57,18706.2,0.54088,3.50005,1.23112,0.92817,0.89883,0.94433,0.63483,0.56905,3.72129,1.26782,0.000278371,0.000278371,0.000278371
58,19031.8,0.54038,3.44465,1.2281,0.92794,0.89767,0.9449,0.63762,0.56789,3.67972,1.26563,0.000271919,0.000271919,0.000271919
59,19361.4,0.53998,3.4489,1.22716,0.92956,0.89978,0.94612,0.64122,0.5644,3.67307,1.26158,0.000265453,0.000265453,0.000265453
60,19690.2,0.53675,3.43293,1.22476,0.93021,0.8935,0.94666,0.64103,0.56526,3.66248,1.26066,0.000258979,0.000258979,0.000258979
61,20018.6,0.53319,3.372,1.21815,0.93376,0.88958,0.94469,0.64243,0.56294,3.62172,1.25782,0.0002525,0.0002525,0.0002525
62,20348.1,0.53259,3.34381,1.22623,0.9405,0.88849,0.94581,0.64492,0.56019,3.60198,1.25617,0.000246021,0.000246021,0.000246021
63,20676.8,0.52717,3.32559,1.22152,0.93958,0.89017,0.94722,0.64564,0.55962,3.61517,1.25555,0.000239547,0.000239547,0.000239547
64,21004.9,0.52918,3.3375,1.2219,0.93726,0.89571,0.94869,0.64445,0.56,3.6234,1.25443,0.000233081,0.000233081,0.000233081
65,21335.1,0.52513,3.28117,1.2148,0.93607,0.89533,0.94784,0.64606,0.56044,3.5997,1.25281,0.000226629,0.000226629,0.000226629
66,21664.5,0.52447,3.26386,1.21473,0.94367,0.89207,0.94801,0.64602,0.55978,3.59566,1.25205,0.000220195,0.000220195,0.000220195
67,21991.7,0.52032,3.21559,1.20678,0.9367,0.89581,0.94705,0.64487,0.56108,3.59921,1.253,0.000213782,0.000213782,0.000213782
68,22318.1,0.52127,3.24569,1.21056,0.93044,0.9021,0.94856,0.64442,0.56151,3.59583,1.25313,0.000207397,0.000207397,0.000207397
69,22645.8,0.52306,3.25634,1.21174,0.93105,0.90675,0.94907,0.64573,0.56064,3.58507,1.25307,0.000201042,0.000201042,0.000201042
70,22973.2,0.51634,3.18559,1.20595,0.93036,0.9074,0.94938,0.64567,0.55976,3.57216,1.25388,0.000194722,0.000194722,0.000194722
71,23300,0.51423,3.1631,1.19631,0.93391,0.90727,0.95021,0.64637,0.56009,3.58019,1.25436,0.000188442,0.000188442,0.000188442
72,23629,0.51231,3.13406,1.20026,0.93135,0.90795,0.94933,0.6465,0.55901,3.57214,1.25307,0.000182206,0.000182206,0.000182206
73,23955.9,0.51262,3.11182,1.20356,0.92863,0.90927,0.94955,0.64732,0.55875,3.57694,1.25346,0.000176018,0.000176018,0.000176018
74,24282.8,0.50998,3.12815,1.19813,0.92837,0.91071,0.949,0.64707,0.55813,3.56852,1.25352,0.000169883,0.000169883,0.000169883
75,24607.7,0.50818,3.11233,1.19225,0.92893,0.90868,0.94993,0.6471,0.55778,3.56396,1.25323,0.000163804,0.000163804,0.000163804
76,24935.9,0.5076,3.0718,1.19008,0.93085,0.90691,0.94929,0.64879,0.55759,3.56092,1.25297,0.000157786,0.000157786,0.000157786
